,Tweet
47,เหมือนเลิฟซิกไง โซตัส คั่นกู ไวรอลมั้ยล่ะ แล้วปีนี้มันคือคพ.ไงมึง
48,ซีรีย์วายที่ดูแบบจบจริงๆจังๆคือโซตัส กับนิทานพันดาวอะ
49,"ส่งต่อ นิยาย โซตัส สภาพดียังไม่แกะ 250บาทร่วมส่ง
#นิยาย #นิยายวาย #นิยายวายมือสอง #Sotus #SotusS #ตลาดนัดคริสสิง #ตลาดนัดgmmtv #ทีมพีรญา "
50,"สมัยก่อน เด็กกว่าแล้วไง = เด็กกว่าแล้วไง ก็รักพี่ได้เหมือนกัน

สมัยนี้ เด็กกว่าแล้วไง = เด็กกว่าแล้วไง กุก็ด่ามึงได้เหมือนกันค่ะถ้ามึงทำตัวไม่ดี อย่ามาโซตัส"
51,ไม่ได้เป็นสาววายมาตั้งแต่โซตัส คินพ้อดดึงหัวชีกลับมา
52,"ปุ๋ยออสโมโค้ท ออสโมโค้ทพลัส ขนาด 1 กก ของแท้ 100% จาก โซตัส ครับ [VUN9XUN]

"
53,"ปุ๋ยออสโมโค้ท ออสโมโค้ทพลัส ขนาด 1 กก ของแท้ 100% จาก โซตัส ครับ [U9Q4P8D]

"
54,รับน้องโซตัส  via @YouTube
55,@mawherobeans ขออนุญาตโซตัส
56,@marcmelowz มมชป นมชปอย่าโซตัส
57,"ปุ๋ยออสโมโค้ท ออสโมโค้ทพลัส ขนาด 1 กก ของแท้ 100% จาก โซตัส ครับ [UZ4QNF1]

"
58,บอกตามเมนตัวเองเพราะเรื่องอื่นไม่ใช่โซตัส ถามหน่อย ไม่ว่าตามตั้งแต่ตอนไหนมันมีเหตุอันชอบธรรมอะไรให้ต้องไล่แซะและไม่ชอบพาร์ทเนอร์​เขาวะ คิดว่าเด็กคนนี้ทำให้เมนตัวเองโดนด่า?? ทีพวกเธอนิสัยแย่ด่าแซะอีกคนมาตลอด ทุกคนก็ยังรักและเคารพ​สิง เพราะทุกคนแยกแยะได้  มันคนละส่วน​กันเลย
59,"บางทีก็งงๆกับตัวเอง อ่านนิยายวายเยอะมากกก อ่านตั้งแต่เว็บเล้าเป็ดจนถึงมีแอปต่างๆ ดด รอร ธวล แต่พอเปนซรดูน้อยสุดๆยังดูไม่ถึง5เรื่อง เรื่องที่ดูจบ
-เลิฟซิก
-โซตัส1
-อกหักมารักกับผม
-ด้ายแดง
-นิ่งเฮีย"
60,เกลียดรัฐบาลแต่เอาโซตัส ไปอยู่กับพ่อมึงเลยนะ
61,"@aintyouidiotic พวกมึงขู่ตะคอก ข่ม โซตัส ห้องเชียร์ ลากคนเข้าลัทธิ #ดินไถล  โดยคิดว่าไม่มีใครมีหลักฐาน

ผมเป็นพยานความเหี้ยแล้วเอามาให้พับลิคดู มันเข้าข่ายคุกคามยังไงครับ หือ หือ หือ? 

เป็นนางแบกนี่ต้องโง่ด้วยใช่มั้ยครับ "
62,เห็นป้ายโซตัสที่ห้างญี่ปุ่น แล้วนึกขึ้นได้ว่าเด็กสองคนพูดตลอดว่ามีวันนี้ได้เพราะโซตัส แต่แฟนคลับบางกลุ่มยังรับความจริงไม่ได้เนอะ
