,Tweet
104,@shop_platoo การจะเป็นอุดมการณ์มันไม่ได้เปลี่ยนจากแค่คำพูดหรือคำขอโทษ..มันดู่การกระทำด้วย ดูอย่างพี่สุกัญญา มิเกล ลูกนัท คนเหล่านี้เค้าเปลี่ยนด้วยการกระทำทั้งนั้น เพราะถ้ามาแค่คำพูดหรือคำขอโทษ ใครๆก้อพูดได้ ไอ้ตู่ ไอ้ป้อม ไอ้สุเทพมันก้อพูดได้ขอโทษได้
105,@Kenshir34410838 @svndw81 @damrangjik @meVnus อดีตยื่นร้องปลดนายก ปัจจุบันยื่นร้องยุบพรรคของแบกไปแล้วกี่คดี แม้กระทั่งอดีตเคยร่วมทีม ศอฉ อย่างไอ้ป้อม ยังไม่สู้โพสด่าคนเสื้อแดงในสายตา #แบกจนบ้ง เพราะขนาดไอ้ป้อมเองแบกตัวแม่ยังพูดออกTVชัดถ้อยชัดคำว่า ไอเดียพรรคพี่ใหญ่จับมือพรรคไอ้ป้อม คนซื้อเยอะมาก 555
106,ไอ้ป้อมมันเล่นเป็น ไอ้ตู่ไอ้ควาย
107,"ไม่ได้หลับพ่อง.... ไอ้ควาย
กระพริบตาพ่่อง.... ไอ้ควย
ทั้งอวย ทั้งเชลียร์เลียไข่
จนไข่ไอ้ป้อม มันเหี่ยวหมดแล้ว ไอ้ส้นตีน
#อย่าดูถูกประชาชน
#อย่าคิดว่าประชาชนโง่ นะ ไอ้ควาย  "
108,@TarotYouuuu ไอ้ป้อมแม่งนั่งโลงศพติดล้อแล้วให้ลิ้วล้อลากกันไป
109,@dog_overload สำหรับแบก ให้ไอ้ตัวกลาง(ไอ้ตู่ใช่มะ?)ขอโทษคนเดียวก็พอแล้วมั้ง เพราะเห็นไอ้ป้อมก็ไม่เคยขอโทษเลย แบกๆยังกระสันต์อยากไปร่วมรบ.กับพปชร.ในการเลือกตั้งครั้งหน้าจนทนไม่ไหวแล้ว
110,พักเถอะนะไอ้ป้อม เมื่อไหร่มึงจะตายยยยยยยยยยยยยยยยยยยย 
111,ข้อดีเดียวที่ไอ้ป้อมเป็นนายก คือกูไม่ต้องเปิดทีวีมาเจอหน้าไอ้เหี้ยตู่ กูไม่เคยเกลียดขี้หน้านายกคนไหนเท่าแม่งมาก่อนเลยจริงๆ รอวันมันจมกองตีนประชาชน
112,ไอ้ป้อมทำงานดีกว่าไอ้ตู่ 
113,ข้อเรียกร้องล้มตู่ ตอนนี้ตู่ไม่อยู่ชั่วคราว ได้ไอ้ป้อมอวยกันลงเน้อ นรกเจอยมบาลชัดๆ
114,ดี ให้ไอ้ป้อม มันรักษาการไป ให้มันทำงานเยอะเยอะ ดูจากสภาพร่างกายมันแล้ว ไม่ไหวแน่ รับรองได้ ตายเร็วแน่นอน #ส่องทวิตยามเช้า
115,@Pundee_Punsuck @Unrulycat2511 ไอ้ป้อมมันใจเย็นกว่านะ และศัตรูที่ใจเย็นคือน่ารักมัดระวังตัว
116,เอาจิงๆ ยิ่งเอาธรรมนัสเข้าพรรค พท เองนี่แหละที่จะหมดราคา ขนาดฝั่งไอ้ป้อมหรือไอ้ตู่เองก็ไม่สนใจธรรมนัสแล้ว จะทำไรก็ทำ 
117,@akashita_liz @ZleepDuck ไอ้ป้อมเลิกไม่ทันหรอก 55555
118,@MatichonOnline เรื่องราวทั้งหมด​คือเครือข่าย​ไอ้ป้อมที่สื่อกำลังปลื้มกว่าไอ้​ตู่
