,Tweet
278,"@tanawatofficial ศาลรัฐธรรมนวย​ 5ต่อ4​ ให้​ สัตว์ตูบ​ หยุด​ปฏิบัติหน้าที่​   (4ตัวเยทเม่ง​ ว่าไม่ให้หยุด​1คนให้หยุด)​
รอดู​   ไอ้ป้อมโป๊ยก่ายยย​ จะได้​ รักษาการเเทนไหม
#ประยุทธ์หยุดปฏิบัติหน้าที่
#นายกเถื่อน"
279,"
ศาลรัฐธรรมนวย​ 5ต่อ4​ ให้​ สัตว์ตูบ​ หยุด​ปฏิบัติหน้าที่​   (4ตัวเยทเม่ง​ ว่าไม่ให้หยุด​1คนให้หยุด)​
รอดู​   ไอ้ป้อมโป๊ยก่ายยย​ จะได้​ รักษาการเเทนไหม
#ประยุทธ์หยุดปฏิบัติหน้าที่
#นายกเถื่อน"
280,@SAHINOP @kamphaka ไอ้ป้อม มันเดินไปทำงานไหวเหรอว่ะ
281,ไอ้ตู่ไป ไอ้ป้อมมา งง
282,@AmaratJeab ไอ้ป้อมต้องรักษาการแทนอิกนานแค่ไหน เลือกตั้งจะมาเมื่อไหร่
283,จะรอไอ้ป้อมมันตายรึ กุจะย้ายประเทศแม่งเลยดี
284,ไอ้ป้อมจะหามเข้าโรงอยู่แล้วจะมาเป็นนายกควยไรไอ้เหี้ย
285,ไอ้ตู่ไป ได้ไอ้ป้อมมาแทน 
286,ไอ้ตู่ไปไอ้ป้อมมา เวรกรรมแท้ๆ #8ปีแล้วนะไอ้สัส
287,"
ศาลรัฐธรรมนวย​ 5ต่อ4​ ให้​ สัตว์ตูบ​ หยุด​ปฏิบัติหน้าที่​   (4ตัวเยทเม่ง​ ว่าไม่ให้หยุด​1คนให้หยุด)​
รอดู​   ไอ้ป้อมโป๊ยก่ายยย​ จะได้​ รักษาการเเทนไหม
#ประยุทธ์หยุดปฏิบัติหน้าที่
#นายกเถื่อน"
288,แค่หยุดชั่วคราวยังไม่พ้นตำแหน่งดีอย่าเพิ่งดีใจกันยังต้องสู้ต่ออีกนาน แล้วคือไรให้ไอ้ป้อมรักษาการแทนคือแค่มันนั่งประครองตัวเองยังไม่ค่อยจะได้เลยใช้ไรคิดเดี๋ยวก็นั่งหลับในสภาอีก #นายกเถื่อน
289,"
ศาลรัฐธรรมนวย​ 5ต่อ4​ ให้​ สัตว์ตูบ​ หยุด​ปฏิบัติหน้าที่​   (4ตัวเยทเม่ง​ ว่าไม่ให้หยุด​1คนให้หยุด)​
รอดู​   ไอ้ป้อมโป๊ยก่ายยย​ จะได้​ รักษาการเเทนไหม
#ประยุทธ์หยุดปฏิบัติหน้าที่
#นายกเถื่อน"
290,"@Jirat_MP ศาลรัฐธรรมนวย​ 5ต่อ4​ ให้​ สัตว์ตูบ​ หยุด​ปฏิบัติหน้าที่​   (4ตัวเยทเม่ง​ ว่าไม่ให้หยุด​1คนให้หยุด)​
รอดู​   ไอ้ป้อมโป๊ยก่ายยย​ จะได้​ รักษาการเเทนไหม
#ประยุทธ์หยุดปฏิบัติหน้าที่
#นายกเถื่อน"
291,"@yuththna_sae ศาลรัฐธรรมนวย​ 5ต่อ4​ ให้​ สัตว์ตูบ​ หยุด​ปฏิบัติหน้าที่​   (4ตัวเยทเม่ง​ ว่าไม่ให้หยุด​1คนให้หยุด)​
รอดู​   ไอ้ป้อมโป๊ยก่ายยย​ จะได้​ รักษาการเเทนไหม
#ประยุทธ์หยุดปฏิบัติหน้าที่
#นายกเถื่อน"
292,"@Capchett1122110 ศาลรัฐธรรมนวย​ 5ต่อ4​ ให้​ สัตว์ตูบ​ หยุด​ปฏิบัติหน้าที่​   (4ตัวเยทเม่ง​ ว่าไม่ให้หยุด​1คนให้หยุด)​
รอดู​   ไอ้ป้อมโป๊ยก่ายยย​ จะได้​ รักษาการเเทนไหม
#ประยุทธ์หยุดปฏิบัติหน้าที่
#นายกเถื่อน"
293,ตู่ออกไอ้ป้อมขึ้นแทน สภาพ สะกิดนิดเดวก้ไปล้ะ
294,"@viskxxxy1 ไอ้ป้อม, ไอ้หนูเหี้ยพอกัน"
295,"ศาลรัฐธรรมนวย​ 5ต่อ4​ ให้​ สัตว์ตูบ​ หยุด​ปฏิบัติหน้าที่​   (4ตัวเยทเม่ง​ ว่าไม่ให้หยุด​1คนให้หยุด)​
รอดู​   ไอ้ป้อมโป๊ยก่ายยย​ จะได้​ รักษาการเเทนไหม
#ประยุทธ์หยุดปฏิบัติหน้าที่
#นายกเถื่อน"
296,ไอ้ป้อมรักษาการเนี่ยนนะ ชิบหายแน่ประเทศนี้ ไม่สิชิบหายอยู่แล้ว โอ้ยยยยยยย โลกแตกเลยได้ม้ายยยแม่งเอ้ย
297,@thalugazzz ไอ้ป้อมแน่ๆ ที่สำคัญมันแค่ลดกระแส รอกระแสเงียบก็ช่วยไอ้ตู่ตอนตัดสิน
298,อีตู่ลงไปไอ้ป้อมขึ้นมาแทน โอ้ยยยประเทศไทยต้องมาฝากชีวิตไว้กับไอ้แก่เห็นแก่ตัวพวกนี้ไม่จบไม่สิ้น 
299,จะดีใจหรือเสียใจดี ไอ้ป้อมมารักษาการแทน 
